City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2022-06-28 17:59:41,-53.15,-70.9167,41.11,75,75,12.66
1,Matinhos,BR,2022-06-28 17:59:41,-25.8175,-48.5428,75.9,70,30,6.44
2,Bluff,NZ,2022-06-28 17:59:42,-46.6,168.3333,40.8,77,100,19.3
3,Oranjemund,NA,2022-06-28 17:59:42,-28.55,16.4333,72.45,32,0,10.98
4,Nanortalik,GL,2022-06-28 17:59:42,60.1432,-45.2371,47.07,66,100,14.5
5,Teguise,ES,2022-06-28 17:59:42,29.0605,-13.564,71.82,57,40,21.85
6,Rawson,AR,2022-06-28 17:59:43,-43.3002,-65.1023,57.02,48,100,20.89
7,Carnarvon,AU,2022-06-28 17:55:42,-24.8667,113.6333,65.28,43,0,17.76
8,Jamestown,US,2022-06-28 17:59:24,42.097,-79.2353,70.95,51,0,3.0
9,Cabo San Lucas,MX,2022-06-28 17:59:43,22.8909,-109.9124,92.61,66,100,5.86
10,Hermanus,ZA,2022-06-28 17:59:44,-34.4187,19.2345,63.73,52,0,7.47
11,Albany,US,2022-06-28 17:59:44,42.6001,-73.9662,74.88,55,17,7.36
12,Qaanaaq,GL,2022-06-28 17:59:44,77.484,-69.3632,46.08,49,52,2.53
13,Monteagudo,BO,2022-06-28 17:59:45,-19.8167,-63.9833,69.49,51,42,7.9
14,Bredasdorp,ZA,2022-06-28 17:59:45,-34.5322,20.0403,60.12,51,0,4.7
15,Tuatapere,NZ,2022-06-28 17:59:45,-46.1333,167.6833,41.95,86,100,8.46
16,Sarakhs,IR,2022-06-28 17:59:45,36.5449,61.1577,97.61,10,0,9.15
17,Gat,IL,2022-06-28 17:59:46,31.61,34.7642,79.81,100,0,7.07
18,Belen,TR,2022-06-28 17:56:08,36.4891,36.2233,67.26,84,8,5.39
19,Hithadhoo,MV,2022-06-28 17:59:46,-0.6,73.0833,82.71,73,71,4.32
20,Ushuaia,AR,2022-06-28 17:55:20,-54.8,-68.3,38.86,70,0,4.61
21,Palora,EC,2022-06-28 17:59:47,-1.7,-77.9333,80.71,47,9,4.9
22,Mar Del Plata,AR,2022-06-28 17:59:47,-38.0023,-57.5575,60.94,43,0,11.5
23,Ornskoldsvik,SE,2022-06-28 17:59:47,63.2909,18.7153,76.15,60,50,8.05
24,Padang,ID,2022-06-28 17:59:47,-0.9492,100.3543,76.21,85,100,3.02
25,Pisco,PE,2022-06-28 17:59:48,-13.7,-76.2167,64.45,72,20,11.5
26,Saint-Philippe,RE,2022-06-28 17:59:48,-21.3585,55.7679,65.79,72,47,13.2
27,Pangody,RU,2022-06-28 17:59:48,65.85,74.4859,52.52,45,99,26.46
28,Chokurdakh,RU,2022-06-28 17:59:49,70.6333,147.9167,45.07,74,98,4.56
29,Iwaki,JP,2022-06-28 17:59:49,37.05,140.8833,74.77,93,86,4.85
30,Nome,US,2022-06-28 17:59:49,64.5011,-165.4064,51.17,87,75,0.0
31,Mataura,NZ,2022-06-28 17:59:49,-46.1927,168.8643,40.48,80,100,4.29
32,Ajdabiya,LY,2022-06-28 17:59:50,30.7554,20.2263,83.34,55,0,18.48
33,Chuy,UY,2022-06-28 17:59:50,-33.6971,-53.4616,50.23,88,100,5.88
34,Dikson,RU,2022-06-28 17:59:50,73.5069,80.5464,32.02,96,87,15.01
35,Saint George,US,2022-06-28 17:59:51,37.1041,-113.5841,100.63,19,4,1.99
36,Namibe,AO,2022-06-28 17:59:51,-15.1961,12.1522,70.07,63,13,5.37
37,Rikitea,PF,2022-06-28 17:59:51,-23.1203,-134.9692,72.66,76,21,16.44
38,Mirpur Khas,PK,2022-06-28 17:59:52,25.5251,69.0159,90.55,61,84,18.3
39,Suntar,RU,2022-06-28 17:59:52,62.1444,117.6319,52.09,88,66,5.28
40,Port Alfred,ZA,2022-06-28 17:59:52,-33.5906,26.891,65.1,46,0,5.35
41,Bambous Virieux,MU,2022-06-28 17:59:53,-20.3428,57.7575,70.05,56,40,11.5
42,Nemuro,JP,2022-06-28 17:59:53,43.3236,145.575,54.77,100,100,7.05
43,Khatanga,RU,2022-06-28 17:59:53,71.9667,102.5,51.53,50,1,8.63
44,Atuona,PF,2022-06-28 17:55:19,-9.8,-139.0333,77.14,75,43,19.91
45,Yar-Sale,RU,2022-06-28 17:59:54,66.8333,70.8333,45.84,52,44,26.06
46,Talnakh,RU,2022-06-28 18:00:54,69.4865,88.3972,63.28,42,83,1.21
47,Tuktoyaktuk,CA,2022-06-28 18:00:54,69.4541,-133.0374,52.07,61,37,7.78
48,Kapaa,US,2022-06-28 18:00:55,22.0752,-159.319,78.12,77,100,3.0
