City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
34,Beyneu,KZ,78.39,few clouds,45.3167,55.2,NUR
37,Camalu,MX,78.78,clear sky,30.85,-116.0667,La Cueva del Pirata
67,Ha Tinh,VN,77.34,light rain,18.3333,105.9,Phú Quý
72,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
79,Atuona,PF,77.36,clear sky,-9.8,-139.0333,Villa Enata
80,Mabaruma,GY,77.31,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
88,Nishihara,JP,79.88,broken clouds,26.1842,127.7558,Minshuku Agaihama
90,Muroto,JP,78.17,clear sky,33.2833,134.15,Oota Ryokan
96,Portland,US,79.21,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
104,Weinan,CN,77.4,overcast clouds,34.5036,109.5089,Thank Inn Chain Hotel shanxi weinan linwei district jiefang road
124,Gat,IL,78.82,clear sky,31.61,34.7642,OlusHome
126,San Francisco,US,78.17,scattered clouds,37.7749,-122.4194,Edwardian Hotel
134,Panchagarh,BD,78.93,heavy intensity rain,26.3313,88.562,Central Guest House (Pvt.) Ltd.
157,Alexandria,EG,77.5,clear sky,31.2156,29.9553,Royal Crown Hotel
165,Laramie,US,79.09,clear sky,41.3114,-105.5911,Fairfield Inn & Suites by Marriott Laramie
178,Puerto Ayora,EC,78.76,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
179,Buala,SB,79.07,light rain,-8.145,159.5921,Maringe Lagoon Lodge
189,Merauke,ID,77.22,overcast clouds,-8.4667,140.3333,
199,Nabinagar,BD,78.1,broken clouds,23.8917,90.9733,ওমান হাউজ
201,Fos-Sur-Mer,FR,77.47,clear sky,43.4377,4.9446,Ariane Hotel
221,Faanui,PF,78.84,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
224,Bandarbeyla,SO,77.31,overcast clouds,9.4942,50.8122,JABIR HOTEL
228,Guerrero Negro,MX,77.07,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
232,Det Udom,TH,78.62,light rain,14.906,105.0784,Chatsuda Resort
242,Nantucket,US,78.91,scattered clouds,41.2835,-70.0995,Jared Coffin House
262,Maracacume,BR,77.32,overcast clouds,-2.0428,-45.9592,Hotel Ramos
265,Changde,CN,78.46,overcast clouds,29.0464,111.6783,Kangshida Hotel
278,Namatanai,PG,78.78,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
284,Narasannapeta,IN,79.5,overcast clouds,18.4167,84.05,AVK events and catering
286,Sinnamary,GF,79.48,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
300,Dapaong,TG,79.3,light rain,10.8639,0.205,Hotel Caroli
309,Moanda,GA,78.19,overcast clouds,-1.5575,13.2178,Heliconia Stadium Moanda
311,Merrill,US,77.81,clear sky,45.1805,-89.6835,Prairie Motel
364,Harper,LR,77.13,overcast clouds,4.375,-7.7169,Screensaver
366,San Policarpo,PH,79.57,overcast clouds,12.1791,125.5072,Agapita M. Nicart
372,Marsa Matruh,EG,79.0,clear sky,31.3525,27.2453,Beau Site
373,Banda Aceh,ID,78.75,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
430,Sidi Ali,DZ,78.24,overcast clouds,36.0998,0.4206,Complexe touristique haje bezine
446,Monrovia,LR,78.57,overcast clouds,6.3005,-10.7969,Sunset Inn
447,Inirida,CO,79.14,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
460,Sri Aman,MY,78.85,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
466,Alugan,PH,79.03,overcast clouds,12.2188,125.4808,JM Lodge
486,Yueyang,CN,79.74,broken clouds,29.3333,113.0919,Delong Fortune Hotel
488,Vanderhoof,CA,77.97,few clouds,54.0166,-124.0198,Vanderhoof Inn
493,Basco,PH,78.06,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
495,Kirksville,US,78.75,overcast clouds,40.1948,-92.5833,Budget Host-Village Inn
501,Wuda,CN,78.55,overcast clouds,39.4994,106.7117,Grape Sightseeing Garden
509,Sao Joao Da Barra,BR,77.09,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
513,Yumen,CN,77.77,clear sky,40.2833,97.2,
517,Carbonia,IT,79.75,clear sky,39.1672,8.5222,Lu 'Hotel
522,East Moline,US,78.94,broken clouds,41.5009,-90.4443,Residence Inn by Marriott Moline Quad Cities
556,Kikwit,CD,77.61,scattered clouds,-5.041,18.8162,HOTEL PLACE YALABA
587,Touros,BR,79.21,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
591,Kieta,PG,78.17,light rain,-6.2167,155.6333,Uruna Bay Retreat
600,Kudahuvadhoo,MV,79.72,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
604,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
605,Belene,BG,79.5,clear sky,43.65,25.1167,hotel Valkovi
607,Bitung,ID,79.27,broken clouds,1.4451,125.1824,K2 Lembeh
608,Half Moon Bay,US,79.05,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
617,Jining,CN,77.9,broken clouds,35.405,116.5814,Yunhe Star Hotel
640,Vaitape,PF,78.85,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
645,Aldergrove,CA,78.57,few clouds,49.058,-122.4709,Best Western Plus Country Meadows Inn
648,Kabalo,CD,77.67,few clouds,-6.05,26.9167,
654,Tautira,PF,77.0,scattered clouds,-17.7333,-149.15,Pension Oaoa
657,Isesaki,JP,78.66,clear sky,36.3167,139.2,シーズ
