,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Georgetown,MY,5.4112,100.3354,84.13,78,20,3.44,few clouds
1,Upernavik,GL,72.7868,-56.1549,37.56,84,100,11.14,overcast clouds
2,Port Alfred,ZA,-33.5906,26.891,67.91,38,0,12.57,clear sky
3,Punta Arenas,CL,-53.15,-70.9167,37.51,65,0,5.75,clear sky
4,San Cristobal,VE,7.7669,-72.225,82.58,56,50,6.4,scattered clouds
5,Mar Del Plata,AR,-38.0023,-57.5575,53.1,78,100,18.41,light rain
6,Barrow,US,71.2906,-156.7887,50.02,71,0,11.5,clear sky
7,Laguna,US,38.421,-121.4238,86.31,48,0,5.75,clear sky
8,Bluff,NZ,-46.6,168.3333,45.81,79,100,24.4,overcast clouds
9,Hilo,US,19.7297,-155.09,82.13,72,75,8.01,broken clouds
10,Nabire,ID,-3.3667,135.4833,74.37,95,79,3.87,broken clouds
11,Vaini,TO,-21.2,-175.2,73.56,94,75,3.44,broken clouds
12,Rikitea,PF,-23.1203,-134.9692,72.14,73,48,11.27,light rain
13,Albany,US,42.6001,-73.9662,93.02,35,34,10.31,scattered clouds
14,Hermanus,ZA,-34.4187,19.2345,61.88,62,4,7.49,clear sky
15,Verkhoturye,RU,58.8627,60.8054,53.82,74,100,3.13,overcast clouds
16,Chuy,UY,-33.6971,-53.4616,58.03,67,0,15.26,clear sky
17,Kodiak,US,57.79,-152.4072,54.91,88,100,14.97,overcast clouds
18,Busselton,AU,-33.65,115.3333,48.38,79,0,5.84,clear sky
19,Hobart,AU,-42.8794,147.3294,40.86,87,83,11.5,broken clouds
20,Chokurdakh,RU,70.6333,147.9167,41.76,82,100,11.72,moderate rain
21,Klaksvik,FO,62.2266,-6.589,52.72,92,100,5.5,overcast clouds
22,Saint-Philippe,RE,-21.3585,55.7679,69.39,75,91,14.92,overcast clouds
23,Khatanga,RU,71.9667,102.5,48.92,65,97,13.65,overcast clouds
24,Batagay-Alyta,RU,67.8006,130.4114,53.2,68,100,3.36,overcast clouds
